champion,number of wins,kills,deaths,assists,average damagetochampions,average teamkills,average teamdeaths,top,mid,jng,sup,bot,difficulty,items needed for spike,melee or ranged
Aatrox,21,143,174,201,15627.778,10.815,13.759,yes,no,no,no,no,Medium,Offensive,Melee
Ahri,166,1075,664,2063,16921.819,13.092,12.76,no,yes,no,no,no,Medium,Offensive,Ranged
Akali,71,674,431,596,15806.862,11.684,12.339,yes,yes,no,no,no,Medium,Offensive,Melee
Akshan,0,2,7,2,10282.0,4.5,13.0,yes,no,no,no,no,Hard,Offensive,Ranged
Alistar,78,97,548,1442,4051.599,13.253,13.475,no,no,no,yes,no,Easy,Support,Melee
Amumu,9,22,40,106,9103.231,12.923,10.615,no,no,yes,yes,no,Easy,Defensive,Melee
Anivia,0,3,4,2,15427.0,8.0,20.0,no,yes,no,no,no,Hard,Offensive,Ranged
Annie,193,799,962,2643,15208.951,12.801,12.04,no,yes,no,yes,no,Easy,Offensive,Ranged
Aphelios,285,2235,1400,2402,19396.0,11.918,12.718,no,no,no,no,yes,Hard,Offensive,Ranged
Ashe,95,338,560,1572,13830.362,12.744,13.72,no,no,no,yes,yes,Easy,Offensive,Ranged
Aurelion Sol,12,119,42,117,23371.56,12.68,12.76,no,yes,no,no,no,Hard,Offensive,Ranged
Azir,236,1474,1173,2338,21080.191,11.935,12.565,yes,yes,no,yes,no,Hard,Offensive,Ranged
Bard,0,0,2,2,3138.0,4.0,15.0,no,no,no,yes,no,Hard,Support,Ranged
Bel'Veth,7,51,23,42,10255.556,15.444,11.0,no,no,yes,no,no,Medium,Offensive,Melee
Blitzcrank,50,80,287,709,5255.908,14.816,12.805,no,no,no,yes,no,Easy,Support,Melee
Braum,66,59,427,1228,4670.125,12.287,13.801,no,no,no,yes,no,Medium,Support,Melee
Caitlyn,58,380,215,471,17906.0,11.811,12.09,no,no,no,yes,yes,Easy,Offensive,Ranged
Camille,25,162,146,205,14819.353,13.216,12.784,yes,no,no,no,no,Hard,Offensive,Melee
Cassiopeia,29,195,156,277,15612.311,12.721,13.574,no,yes,no,no,yes,Hard,Offensive,Ranged
Cho'Gath,9,42,58,71,13055.571,9.714,14.714,yes,yes,no,no,yes,Easy,Defensive,Melee
Corki,5,29,17,46,25388.7,12.4,12.2,no,yes,no,no,no,Medium,Offensive,Ranged
Darius,14,88,59,74,11796.043,13.696,10.261,yes,no,no,no,no,Medium,Offensive,Melee
Diana,0,7,11,9,11800.0,7.0,16.667,no,no,yes,no,no,Easy,Offensive,Melee
Draven,58,489,246,456,16249.5,12.884,12.545,no,no,no,no,yes,Hard,Offensive,Ranged
Elise,66,290,298,661,13077.612,12.041,11.471,no,no,yes,no,no,Hard,Offensive,Ranged
Evelynn,0,3,3,0,8368.0,5.0,18.0,no,no,yes,no,no,Medium,Offensive,Melee
Ezreal,52,409,228,496,22836.436,11.744,13.299,no,yes,no,no,yes,Easy,Offensive,Ranged
Fiddlesticks,0,1,4,1,10162.0,3.0,15.0,no,no,yes,no,no,Medium,Offensive,Ranged
Fiora,57,308,237,338,16436.922,11.664,12.328,yes,no,no,no,no,Hard,Offensive,Melee
Galio,17,66,97,255,11164.081,12.378,12.649,no,yes,no,yes,no,Medium,Defensive,Melee
Gangplank,20,102,101,184,22522.206,13.235,12.059,yes,no,no,no,no,Hard,Offensive,Melee
Garen,1,13,7,11,12965.0,14.667,18.667,yes,no,no,no,no,Easy,Offensive,Melee
Gnar,147,552,731,1147,16738.593,11.632,12.171,yes,no,no,no,no,Hard,Defensive,Ranged
Gragas,160,556,759,1726,14844.908,12.397,12.225,yes,yes,yes,yes,no,Medium,Offensive,Melee
Graves,10,80,69,131,14692.292,12.375,14.292,no,yes,yes,no,no,Medium,Offensive,Ranged
Gwen,63,355,327,517,18610.38,12.333,12.318,yes,no,no,no,no,Medium,Offensive,Melee
Heimerdinger,73,165,377,934,11576.203,12.264,11.878,no,no,no,yes,no,Medium,Offensive,Ranged
Illaoi,1,8,24,13,19056.6,9.0,19.0,yes,no,no,no,no,Medium,Defensive,Melee
Irelia,14,103,111,109,15041.667,12.7,14.0,yes,yes,no,no,no,Hard,Offensive,Melee
Ivern,40,89,133,694,7133.639,13.111,12.403,no,no,yes,no,no,Hard,Support,Ranged
Janna,2,2,13,36,3789.286,7.429,11.143,no,no,no,yes,no,Easy,Support,Ranged
Jarvan IV,15,67,142,338,8895.054,13.73,15.243,yes,no,yes,yes,no,Easy,Offensive,Melee
Jax,222,1221,1070,1587,14805.052,13.017,12.486,yes,no,yes,no,no,Medium,Offensive,Melee
Jayce,219,1625,1128,2110,22088.441,12.761,12.915,yes,yes,no,no,no,Medium,Offensive,Ranged
Jhin,32,235,113,427,17259.842,12.645,12.763,no,no,no,yes,yes,Medium,Offensive,Ranged
Jinx,101,838,497,988,19369.981,11.976,12.57,no,no,no,no,yes,Medium,Offensive,Ranged
K'Sante,376,1716,1809,3671,12453.317,12.352,12.453,yes,yes,no,no,no,Hard,Defensive,Melee
Kai'Sa,182,1779,708,1634,21992.156,14.168,12.662,no,yes,no,no,yes,Medium,Offensive,Ranged
Kalista,27,190,107,279,13469.711,15.333,13.156,no,no,no,yes,yes,Hard,Offensive,Ranged
Karma,49,85,331,885,7807.28,10.752,12.6,yes,yes,no,yes,no,Easy,Support,Ranged
Karthus,1,9,19,16,20966.5,8.5,17.5,no,no,yes,no,no,Medium,Offensive,Ranged
Kassadin,30,221,108,254,19337.519,12.722,12.463,no,yes,no,no,no,Medium,Offensive,Melee
Kayle,0,4,8,5,14043.5,8.0,19.0,yes,no,no,no,no,Medium,Offensive,Ranged
Kennen,62,339,383,563,19465.271,13.72,12.78,yes,no,no,no,no,Medium,Offensive,Ranged
Kha'Zix,44,300,189,361,12734.89,11.963,12.232,no,no,yes,no,no,Medium,Offensive,Melee
Kindred,26,180,120,269,16011.714,12.857,10.959,no,no,yes,no,no,Hard,Offensive,Ranged
Kled,8,56,26,66,14289.083,17.0,11.333,yes,yes,no,no,no,Medium,Offensive,Melee
Kog'Maw,12,81,33,93,26528.588,14.059,11.765,no,no,no,no,yes,Medium,Offensive,Ranged
LeBlanc,99,706,367,920,22040.81,12.595,13.015,yes,yes,no,no,no,Hard,Offensive,Ranged
Lee Sin,106,607,515,1222,9128.749,12.327,11.94,yes,yes,yes,no,no,Hard,Offensive,Melee
Leona,74,97,479,1175,3621.03,14.642,13.216,no,no,no,yes,no,Easy,Support,Melee
Lillia,12,71,36,128,19212.526,14.0,12.316,yes,no,yes,no,no,Hard,Offensive,Melee
Lissandra,26,135,161,415,14531.0,14.444,13.13,no,yes,no,yes,no,Medium,Offensive,Ranged
Lucian,135,1099,672,1199,21496.725,11.443,11.732,no,yes,no,no,yes,Medium,Offensive,Ranged
Lulu,169,152,667,2913,3771.793,11.11,11.326,no,no,no,yes,no,Medium,Support,Ranged
Lux,32,65,170,433,9994.45,11.167,11.4,no,no,no,yes,no,Easy,Offensive,Ranged
